Transaction_ID,Date,Branch,Product_Category,Product_Name,Quantity,Unit_Price,Total_Sales,Payment_Method,Customer_Satisfaction
T1080,03-26-24,Kumasi,Home Appliances,Blender,9,111.9,1007.1,Cash,3
T1081,06-01-24,Kumasi,Stationery,Marker,2,17.76,35.52,Cash,4
T1082,01-05-24,Accra Central,Clothing,Dress,2,390.12,780.24,Mobile Money,
T1083,06-06-24,Cape Coast,Clothing,T-shirt,two,58.44,,Mobile Money,2
T1084,23/03/2024,Accra Central,Stationery,File,6,300.71,1804.2599999999998,Card,good
T1085,06-28-24,Cape Coast,Stationery,Notebook,4,414.57,1658.28,Card,2
T1086,21/03/2024,Takoradi,Clothing,T-shirt,2,373.57,747.14,Card,1
T1087,23/05/2024,Cape Coast,Groceries,Bread,1,302.2,302.2,Card,4
T1088,05-03-24,Accra Central,Stationery,Marker,5,404.57,2022.85,Mobile Money,1
T1089,17/06/2024,Takoradi,Groceries,Oil,6,,,Mobile Money,3
T1090,01-08-24,Tema,Clothing,Shoes,6,165.57,993.42,Mobile Money,1
T1091,06-07-24,Accra Central,Clothing,Shoes,7,378.7,2650.9,Cash,2
T1092,22/06/2024,Tema,Electronics,Laptop,10,106.19,1061.9,Cash,5
T1093,01-02-24,Tamale,Clothing,Dress,9,335.68,3021.12,card,1
T1094,27/04/2024,Takoradi,Stationery,Eraser,7,205.49,1438.43,Card,
T1095,04-02-24,Accra Central,Stationery,Eraser,7,374.17,2619.19,Cash,3
T1096,06-11-24,Tema,Groceries,Oil,3,77.49,232.46999999999997,Cash,3
T1097,06-16-24,Cape Coast,Stationery,File,10,493.33,4933.3,Card,6
T1098,01-18-24,Cape Coast,Groceries,Milk,9,228.7,2058.2999999999997,Cash,5
T1099,24/01/2024,Tema,Stationery,File,1,405.86,405.86,Mobile Money,
T1100,01-16-24,Takoradi,Electronics,Smartwatch,1,221.69,221.69,Card,3
T1101,03-13-24,Takoradi,Electronics,Headphones,,145.65,,Mobile Money,3
T1102,29/05/2024,Takoradi,Clothing,Jeans,2,191.46,382.92,Card,2
T1103,18/04/2024,Accra Central,Home Appliances,Microwave,8,499.99,3999.92,cash,2
T1104,18/05/2024,Tema,Groceries,Milk,7,94.52,661.64,Mobile Money,3
T1105,01-12-24,Cape Coast,Clothing,Dress,8,123.39,987.12,Card,4
T1106,26/05/2024,Tamale,Clothing,Dress,3,401.62,1204.8600000000001,Cash,1
T1107,05/04/2024,Accra Central,Stationery,Pen,3,453.13,1359.3899999999999,Cash,2
T1108,26/02/2024,Takoradi,Clothing,T-shirt,6,497.29,2983.7400000000002,Card,6
T1109,06-15-24,Kumasi,Groceries,Bread,3,237.21,711.63,mobile money,2
,25/02/2024,Tema,Stationery,File,5,65.31,326.55,Cash,
T1111,07/05/2024,Accra Central,Stationery,Notebook,5,309.33,1546.6499999999999,Cash,3
T1112,22/01/2024,Takoradi,Stationery,File,9,198.27,1784.43,card,good
T1113,05/03/2024,Takoradi,Groceries,Sugar,2,368.92,737.84,Card,6
T1114,06-13-24,Cape Coast,Clothing,Jeans,2,472.08,944.16,Cash,1
T1115,01-11-24,Takoradi,Stationery,Eraser,4,431.76,1727.04,Cash,6
T1116,04-04-24,Tamale,Clothing,Jacket,8,186.84,1494.72,Mobile Money,2
T1117,01-21-24,Kumasi,Groceries,Rice,two,360.24,,Cash,6
T1118,31/03/2024,Tamale,Electronics,Phone,7,401.54,2810.78,Mobile Money,1
T1119,04/06/2024,Tamale,Electronics,Laptop,6,474.99,2849.94,Cash,
T1120,04-05-24,Accra Central,Stationery,Marker,5,61.16,305.79999999999995,Mobile Money,good
T1121,01-31-24,Takoradi,Home Appliances,Fan,8,72.19,577.52,Cash,
T1122,23/06/2024,Takoradi,Electronics,Smartwatch,5,357.35,1786.75,Mobile Money,6
T1123,01/02/2024,Kumasi,Clothing,T-shirt,10,402.81,4028.1,Mobile Money,2
T1124,11/04/2024,Cape Coast,Clothing,Shoes,2,161.93,323.86,Cash,6
T1125,21/05/2024,Kumasi,Home Appliances,Kettle,1,261.46,261.46,Card,6
T1126,02-27-24,Tema,Electronics,Headphones,9,314.39,2829.5099999999998,Mobile Money,3
T1127,05-28-24,Cape Coast,Stationery,Marker,10,432.57,4325.7,Cash,5
T1128,05-26-24,Capecoast,Stationery,Marker,5,403.32,2016.6,Mobile Money,
T1129,01-16-24,Tamale,Home Appliances,Iron,6,163.06,978.36,Card,3
T1130,11/05/2024,Takoradi,Electronics,Headphones,3,N/A,,Mobile Money,3
T1131,27/05/2024,Kumasi,Clothing,Dress,5,49.57,247.85,Card,4
T1132,03-31-24,Takoradi,Clothing,Jacket,2,441.82,883.64,Mobile Money,good
T1133,04-12-24,Tema,Stationery,Marker,two,143.46,,Mobile Money,2
T1134,01-25-24,Takoradi,Groceries,Sugar,9,24.93,224.37,Cash,6
T1135,05-12-24,Tema,Home Appliances,Iron,6,495.35,2972.1000000000004,Mobile Money,6
T1136,10/05/2024,Cape Coast,Clothing,T-shirt,2,293.93,587.86,Mobile Money,1
T1137,08/03/2024,Tema,Electronics,Smartwatch,9,311.77,2805.93,Card,4
T1138,06-28-24,Accra Central,Clothing,Jeans,4,388.61,1554.44,Card,1
T1139,05-12-24,Takoradi,Clothing,Dress,3,268.9,806.6999999999999,Mobile Money,5
T1140,19/02/2024,Takoradi,Home Appliances,Iron,4,247.06,988.24,Card,5
T1141,26/05/2024,Tamale,Clothing,Jacket,3,147.38,442.14,mobile money,
T1142,05-02-24,Tema,Stationery,Marker,10,123.44,1234.4,Cash,4
T1143,01-14-24,Takoradi,Electronics,Laptop,9,467.84,4210.5599999999995,Card,4
T1144,03-14-24,Cape Coast,Electronics,Smartwatch,1,91.66,91.66,Cash,1
T1145,11/04/2024,Kumasi,Groceries,Rice,,491.58,,Card,
T1146,04/02/2024,Tamale,Electronics,Headphones,8,360.71,2885.68,Cash,5
T1147,02-19-24,Cape Coast,Clothing,Dress,7,96.47,675.29,Cash,4
,04-08-24,Takoradi,Groceries,Milk,1,182.98,182.98,cash,2
T1149,02-10-24,Tema,Groceries,Rice,5,114.32,571.5999999999999,Cash,
T1150,06-04-24,Cape Coast,Clothing,Dress,4,341.77,1367.08,Mobile Money,2
T1151,15/05/2024,Accra Central,Electronics,Phone,9,270.65,2435.85,Cash,
T1152,22/02/2024,Tamale,Stationery,Eraser,8,210.64,1685.12,mobile money,
T1153,19/03/2024,Tamale,Electronics,Laptop,1,351.69,351.69,Mobile Money,2
T1154,04-30-24,Tamale,Home Appliances,Kettle,7,458.97,3212.79,Card,3
T1155,03-30-24,Tema,Home Appliances,Microwave,1,234.19,234.19,Mobile Money,good
T1156,03-04-24,Kumasi,Electronics,Phone,7,468.44,3279.08,Cash,2
T1157,01-09-24,Cape Coast,Electronics,Laptop,7,272.18,1905.26,Cash,5
T1158,05-27-24,Tema,Groceries,Sugar,3,263.02,789.06,Card,1
T1159,31/05/2024,Kumasi,Clothing,Dress,6,337.31,2023.8600000000001,Mobile Money,good
T1160,03-17-24,Tema,Home Appliances,Iron,3,457.8,1373.4,Mobile Money,good
T1161,02-04-24,Takoradi,Electronics,Charger,2,415.56,831.12,Cash,1
T1162,18/02/2024,Tema,Stationery,Notebook,6,454.95,2729.7,Cash,2
T1163,02/05/2024,Cape Coast,Home Appliances,Kettle,9,145.11,1305.9900000000002,Card,6
T1164,02/04/2024,Tamale,Clothing,Jacket,6,27.63,165.78,Cash,1
T1165,29/05/2024,Tamale,Home Appliances,Iron,10,252.15,2521.5,Mobile Money,6
T1166,05/05/2024,Cape Coast,Clothing,Jeans,6,361.56,2169.36,Card,1
T1167,20/01/2024,Capecoast,Electronics,Charger,4,79.76,319.04,Mobile Money,1
T1168,19/06/2024,Tamale,Electronics,Phone,7,N/A,,Mobile Money,1
T1169,27/06/2024,Kumasi,Electronics,Smartwatch,4,129.95,519.8,Card,good
T1170,04-13-24,Kumasi,Home Appliances,Iron,2,429.82,859.64,cash,good
T1171,05-01-24,Accra Central,Electronics,Charger,6,429.69,2578.14,Cash,1
T1172,26/06/2024,Tamale,Electronics,Headphones,10,93.78,937.8,card,4
T1173,11/04/2024,Takoradi,Home Appliances,Fan,7,272.58,1908.06,Card,3
T1174,25/06/2024,Tema,Groceries,Rice,4,385.66,1542.64,Mobile Money,6
T1175,10/03/2024,Tamale,Groceries,Milk,7,295.01,2065.0699999999997,card,5
T1176,01-19-24,Kumasi,Home Appliances,Kettle,2,N/A,,Card,2
T1177,02-17-24,Tema,Clothing,T-shirt,,N/A,,card,good
T1178,22/01/2024,Tema,Home Appliances,Fan,7,138.11,966.7700000000001,Card,2
T1179,03-11-24,Tamale,Groceries,Oil,8,101.8,814.4,Cash,1
T1180,26/03/2024,Tamale,Groceries,Bread,10,163.73,1637.3,Mobile Money,6
T1181,11/04/2024,Takoradi,Clothing,Dress,6,409.16,2454.96,Card,4
T1182,05-19-24,Tema,Clothing,Jeans,5,39.23,196.14999999999998,Card,3
T1183,03-02-24,Kumasi,Clothing,T-shirt,10,203.4,2034.0,Mobile Money,good
T1184,02/04/2024,Tema,Electronics,Phone,6,308.28,1849.6799999999998,Mobile Money,good
T1185,25/03/2024,Tamale,Electronics,Headphones,9,345.39,3108.5099999999998,Cash,good
T1186,22/06/2024,Tema,Electronics,Charger,7,47.5,332.5,Mobile Money,5
T1187,22/02/2024,Takoradi,Clothing,Shoes,5,356.84,1784.1999999999998,Card,3
T1188,03/03/2024,Tema,Stationery,Eraser,4,316.73,1266.92,Cash,good
T1189,06/06/2024,Tamale,Clothing,T-shirt,4,353.36,1413.44,Cash,3
T1190,02-20-24,Takoradi,Clothing,Dress,6,307.6,1845.6000000000001,Mobile Money,6
T1191,06-07-24,Cape Coast,Groceries,Milk,3,123.09,369.27,Cash,3
T1192,17/04/2024,Tema,Home Appliances,Kettle,3,247.37,742.11,Cash,
T1193,01/04/2024,Tamale,Clothing,Dress,8,248.4,1987.2,Mobile Money,
T1194,05-24-24,Kumasi,Groceries,Sugar,3,285.0,855.0,Card,2
T1195,09/03/2024,Takoradi,Electronics,Charger,7,415.89,2911.23,Cash,1
T1196,30/03/2024,Accra Central,Electronics,Laptop,10,431.22,4312.200000000001,Mobile Money,3
T1197,22/02/2024,Accra Central,Stationery,Marker,3,353.51,1060.53,Card,2
T1198,15/04/2024,Takoradi,Home Appliances,Microwave,6,381.93,2291.58,Mobile Money,3
T1199,09/03/2024,Tamale,Electronics,Charger,5,439.27,2196.35,Card,6
T1200,24/01/2024,Tamale,Groceries,Rice,7,217.67,1523.6899999999998,Cash,6
T1201,27/03/2024,Kumasi,Clothing,Jacket,1,N/A,,Cash,3
T1202,01/01/2024,Tamale,Home Appliances,Iron,5,183.42,917.0999999999999,Card,3
T1203,06-09-24,Cape Coast,Clothing,T-shirt,1,43.58,43.58,Mobile Money,
,06-27-24,Accra Central,Clothing,Jeans,4,366.73,1466.92,Cash,6
T1205,02-05-24,Kumasi,Home Appliances,Blender,1,86.24,86.24,Card,3
T1206,06/06/2024,Kumasi,Electronics,Laptop,10,179.01,1790.1,Card,3
T1207,06-14-24,Tema,Stationery,Marker,1,330.91,330.91,Card,4
T1208,16/03/2024,Kumasi,Electronics,Laptop,10,444.92,4449.2,Card,3
T1209,05-25-24,Tema,Clothing,T-shirt,2,24.71,49.42,Cash,good
T1210,09/06/2024,Tamale,Clothing,T-shirt,9,142.35,1281.1499999999999,card,4
T1211,09/02/2024,Tamale,Electronics,Headphones,4,N/A,,Cash,1
T1212,17/06/2024,Accracentral,Home Appliances,Blender,6,392.58,2355.48,Mobile Money,6
T1213,09/03/2024,Accra Central,Electronics,Headphones,5,135.16,675.8,Mobile Money,
T1214,04-02-24,Tema,Home Appliances,Iron,10,62.09,620.9000000000001,Mobile Money,1
T1215,01-04-24,Tamale,Home Appliances,Microwave,1,457.4,457.4,Mobile Money,4
T1216,16/04/2024,Takoradi,Electronics,Smartwatch,9,31.07,279.63,Cash,1
T1217,18/01/2024,Takoradi,Groceries,Oil,8,149.34,1194.72,Card,4
T1218,31/05/2024,Kumasi,Stationery,Notebook,7,,,Mobile Money,6
,06-17-24,Cape Coast,Electronics,Laptop,4,480.79,1923.16,Cash,2
T1220,29/02/2024,Tema,Groceries,Bread,2,255.19,510.38,Mobile Money,2
T1221,01-16-24,Kumasi,Groceries,Oil,7,369.0,2583.0,Card,4
T1222,02-21-24,Tema,Electronics,Laptop,6,270.28,1621.6799999999998,Cash,
T1223,01-31-24,Cape Coast,Stationery,Pen,6,357.02,2142.12,Card,1
T1224,07/03/2024,Kumasi,Clothing,Shoes,9,233.71,2103.39,Cash,1
T1225,02-26-24,Tamale,Electronics,Smartwatch,2,,,Card,2
T1226,03-25-24,Tamale,Stationery,Eraser,7,194.45,1361.1499999999999,Card,4
T1227,03-11-24,Kumasi,Stationery,File,5,441.98,2209.9,card,5
T1228,04-17-24,Tema,Stationery,Pen,6,391.81,2350.86,Card,6
T1229,02-16-24,Tema,Groceries,Rice,8,384.59,3076.72,Cash,2
T1230,03-02-24,Cape Coast,Home Appliances,Fan,7,420.42,2942.94,Cash,6
T1231,06-27-24,Tema,Groceries,Milk,10,419.16,4191.6,Card,3
T1232,01-24-24,Tema,Stationery,Eraser,10,173.68,1736.8000000000002,Cash,6
T1233,07/02/2024,Kumasi,Stationery,Marker,6,332.76,1996.56,Mobile Money,5
T1234,10/02/2024,Tamale,Clothing,Jacket,9,464.78,4183.0199999999995,Card,3
T1235,06-25-24,Kumasi,Stationery,Eraser,10,,,Cash,2
T1236,02-06-24,Accra Central,Groceries,Sugar,2,336.66,673.32,Mobile Money,
,02-23-24,Accra Central,Electronics,Phone,,87.34,,Card,good
T1238,04-06-24,Tamale,Stationery,Notebook,2,21.54,43.08,Cash,2
T1239,13/02/2024,Kumasi,Stationery,Pen,10,353.73,3537.3,Card,3
T1240,04-21-24,Accra Central,Home Appliances,Kettle,9,144.35,1299.1499999999999,cash,good
T1241,05-05-24,Takoradi,Electronics,Headphones,10,53.01,530.1,Cash,5
T1242,01/05/2024,Takoradi,Clothing,Shoes,5,274.34,1371.6999999999998,Card,6
T1243,01-12-24,Tamale,Groceries,Milk,2,405.05,810.1,Card,4
T1244,09/04/2024,Tamale,Clothing,Dress,8,200.43,1603.44,mobile money,3
T1245,04-24-24,Kumasi,Home Appliances,Microwave,,498.65,,Mobile Money,5
T1246,01-18-24,Tema,Groceries,Oil,1,313.41,313.41,Mobile Money,2
T1247,07/02/2024,Tema,Electronics,Phone,2,434.4,868.8,Card,5
T1248,04/05/2024,Tamale,Groceries,Bread,10,203.85,2038.5,Card,6
T1249,13/01/2024,Takoradi,Electronics,Headphones,5,422.21,2111.0499999999997,Mobile Money,4
T1250,23/04/2024,Takoradi,Clothing,Dress,4,457.15,1828.6,Card,6
T1251,11/05/2024,Accra Central,Stationery,Eraser,9,19.33,173.96999999999997,Cash,4
T1252,03-04-24,Accra Central,Home Appliances,Iron,8,319.53,2556.24,Cash,4
T1253,06-01-24,Tamale,Groceries,Oil,5,345.98,1729.9,card,1
T1254,26/05/2024,Kumasi,Home Appliances,Microwave,7,432.99,3030.9300000000003,mobile money,3
T1255,02/06/2024,Kumasi,Groceries,Oil,7,232.2,1625.3999999999999,Cash,good
T1256,02/01/2024,Cape Coast,Groceries,Milk,10,343.78,3437.7999999999997,card,5
T1257,03-11-24,Cape Coast,Groceries,Sugar,4,403.69,1614.76,Mobile Money,6
T1258,07/01/2024,Takoradi,Clothing,Shoes,1,497.4,497.4,Cash,4
T1259,12/06/2024,Cape Coast,Groceries,Sugar,9,53.31,479.79,Cash,3
T1260,26/03/2024,Kumasi,Groceries,Bread,6,294.86,1769.16,Card,
T1261,11/06/2024,Tema,Home Appliances,Fan,7,209.49,1466.43,Cash,4
T1262,25/05/2024,Tamale,Home Appliances,Blender,3,33.72,101.16,Card,3
T1263,02-10-24,Accra Central,Clothing,Shoes,8,23.67,189.36,Cash,1
T1264,05-15-24,Capecoast,Home Appliances,Microwave,6,55.84,335.04,Mobile Money,3
T1265,01-12-24,Takoradi,Stationery,File,7,497.76,3484.3199999999997,Card,
T1266,02-18-24,Tamale,Home Appliances,Microwave,1,88.65,88.65,Card,1
T1267,06-12-24,Tema,Stationery,Pen,1,N/A,,Card,5
T1268,02-09-24,Cape Coast,Groceries,Bread,9,304.79,2743.11,Cash,2
T1269,06-07-24,Accra Central,Clothing,Jeans,5,486.69,2433.45,Card,5
T1270,05-20-24,Kumasi,Clothing,Jacket,1,453.91,453.91,Mobile Money,3
T1271,05-10-24,Cape Coast,Groceries,Sugar,5,29.79,148.95,Cash,5
T1272,06-22-24,Cape Coast,Electronics,Phone,3,447.79,1343.3700000000001,Mobile Money,2
T1273,03-28-24,Tamale,Clothing,Jacket,8,326.18,2609.44,Cash,1
T1274,02-10-24,Tema,Stationery,Eraser,7,307.62,2153.34,Mobile Money,3
T1275,05-04-24,Tamale,Electronics,Headphones,1,340.57,340.57,Mobile Money,4
T1276,20/06/2024,Tema,Stationery,Pen,4,333.54,1334.16,Mobile Money,1
,10/02/2024,Tamale,Home Appliances,Blender,6,485.22,2911.32,Cash,good
T1278,03-01-24,Tamale,Clothing,T-shirt,8,490.43,3923.44,Mobile Money,2
T1279,10/01/2024,Accra Central,Stationery,File,9,329.03,2961.2699999999995,Card,6
T1280,27/02/2024,Takoradi,Stationery,File,6,61.44,368.64,Mobile Money,6
T1281,11/06/2024,Takoradi,Groceries,Rice,two,359.84,,Mobile Money,5
T1282,02-18-24,Tamale,Home Appliances,Iron,7,,,Mobile Money,
T1283,30/05/2024,Kumasi,Electronics,Smartwatch,9,420.21,3781.89,Card,3
T1284,14/02/2024,Kumasi,Stationery,File,9,212.24,1910.16,Mobile Money,4
T1285,28/03/2024,Tamale,Home Appliances,Kettle,9,352.24,3170.16,Card,4
T1286,08/06/2024,Cape Coast,Home Appliances,Microwave,6,381.58,2289.48,Mobile Money,good
T1287,05-16-24,Tamale,Stationery,Pen,3,103.95,311.85,Cash,5
T1288,16/01/2024,Takoradi,Stationery,Pen,8,434.68,3477.44,Mobile Money,4
T1289,05-23-24,Tema,Groceries,Rice,7,395.12,2765.84,Mobile Money,1
,03-05-24,Tamale,Groceries,Milk,10,363.83,3638.2999999999997,Cash,3
T1291,01-20-24,Kumasi,Electronics,Charger,,84.66,,card,
T1292,02-09-24,Takoradi,Stationery,Marker,10,41.08,410.79999999999995,Mobile Money,4
T1293,05-13-24,Tema,Stationery,File,6,110.61,663.66,Card,5
T1294,07/06/2024,Tema,Electronics,Phone,8,322.92,2583.36,Mobile Money,1
T1295,03-23-24,Accra Central,Stationery,Marker,two,256.82,,card,4
T1296,22/01/2024,Kumasi,Stationery,File,2,387.92,775.84,Mobile Money,2
T1297,28/06/2024,Cape Coast,Electronics,Laptop,6,N/A,,mobile money,4
T1298,04-14-24,Cape Coast,Groceries,Rice,2,322.5,645.0,mobile money,1
T1299,01-19-24,Tema,Groceries,Milk,two,332.06,,Card,4
